Stationsindex;Datum;VGSL;VPGB;VPGH;TS05;TS10;TS20;TS50;TS100;ZFUMI;BF10;BF20;BF30;BF40;BF50;BF60;BFGSL;BFGLS;TSLS05;TSSL05;ZTKMI;ZTUMI;VPGPM;VPMB;VPWB;VPZB;VGLS;VWLS;VWSL;BFWLS;BFWSL;eor
         5906;20220101;    0.4;    0.4;    0.7;    9.3;    9.2;    8.9;    7.8;    7.4;    0;  102;  104;  103;  106;  106;  105;  104;  107;    9.2;    9.3;    0;    0;    0.3;    0.4;    0.4;    0.4;    0.4;    0.4;    0.4;  109;  106;eor                                                            
         5906;20220102;    0.7;    0.7;    0.8;    8.0;    8.0;    8.1;    7.9;    7.6;    0;  100;  103;  103;  103;  104;  105;  103;  105;    7.9;    8.0;    0;    0;    0.9;    0.7;    0.8;    0.7;    0.7;    0.7;    0.8;  106;  104;eor                                                            
         5906;20220103;    1.1;    1.1;    0.9;    8.6;    8.5;    8.3;    7.9;    7.8;    0;  109;  110;  108;  106;  105;  105;  107;  111;    8.5;    8.6;    0;    0;    1.0;    0.8;    1.0;    0.8;    1.1;    1.0;    1.0;  113;  108;eor                                                            
         5906;20220104;    0.3;    0.3;    0.1;    7.9;    8.1;    8.3;    8.1;    8.0;    0;  111;  118;  121;  123;  122;  118;  119;  134;    7.9;    7.9;    0;    0;    0.5;    0.2;    0.3;    0.2;    0.3;    0.3;    0.3;  136;  119;eor                                                            
         5906;20220105;    1.0;    1.0;    0.6;    4.6;    5.4;    6.6;    7.9;    8.1;    0;  106;  111;  116;  118;  120;  119;  115;  128;    4.2;    4.6;    0;    0;    0.8;    0.7;    0.8;    0.7;    1.0;    0.8;    0.8;  131;  116;eor                                                            
         5906;20220106;    0.3;    0.3;    0.6;    3.5;    4.1;    5.3;    7.4;    8.2;    0;  103;  107;  111;  114;  117;  117;  112;  122;    3.1;    3.4;    0;    0;    0.3;    0.4;    0.4;    0.4;    0.3;    0.4;    0.4;  124;  112;eor                                                            
         5906;20220107;    0.2;    0.2;    0.2;    1.8;    2.5;    3.9;    6.7;    8.1;    0;  104;  103;  107;  111;  113;  115;  109;  117;    1.6;    1.7;    0;    0;    0.4;    0.2;    0.3;    0.2;    0.2;    0.3;    0.3;  119;  110;eor                                                            
         5906;20220108;    0.8;    0.8;    0.4;    2.9;    3.2;    3.9;    6.2;    8.0;    0;  106;  106;  107;  108;  111;  113;  109;  116;    2.6;    2.8;    0;    0;    0.6;    0.5;    0.6;    0.5;    0.8;    0.6;    0.6;  118;  110;eor                                                            
         5906;20220109;    1.1;    1.1;    0.6;    4.4;    4.4;    4.6;    5.9;    7.9;    0;  104;  105;  106;  107;  109;  111;  107;  112;    4.1;    4.3;    0;    0;    0.6;    0.7;    0.8;    0.7;    1.1;    0.8;    0.8;  115;  108;eor                                                            
         5906;20220110;    0.4;    0.4;    0.5;    3.9;    4.2;    4.6;    5.9;    7.7;    0;  102;  104;  103;  105;  107;  109;  105;  108;    3.7;    3.9;    0;    0;    0.1;    0.4;    0.4;    0.4;    0.4;    0.4;    0.4;  111;  106;eor                                                            
         5906;20220111;    0.3;    0.3;    0.3;    2.9;    3.2;    4.1;    5.8;    7.6;    0;  101;  104;  103;  102;  105;  107;  104;  106;    2.6;    2.9;    0;    0;    0.4;    0.3;    0.4;    0.3;    0.3;    0.4;    0.4;  108;  105;eor                                                            
         5906;20220112;    0.4;    0.4;    0.7;    2.8;    3.1;    3.9;    5.6;    7.5;    0;  100;  103;  103;  103;  102;  104;  103;  104;    2.5;    2.7;    0;    0;    0.1;    0.4;    0.4;    0.4;    0.4;    0.4;    0.4;  105;  103;eor                                                            
         5906;20220113;    0.3;    0.3;    0.4;    1.7;    2.2;    3.2;    5.4;    7.4;    0;   99;  102;  103;  103;  102;  102;  102;  103;    1.4;    1.7;    0;    0;    0.0;    0.3;    0.3;    0.3;    0.3;    0.3;    0.3;  103;  102;eor                                                            
         5906;20220114;    0.0;    0.0;    0.0;    0.7;    1.3;    2.5;    5.1;    7.2;    0;   99;  102;  103;  103;  102;  102;  102;  103;    0.5;    0.7;    0;    0;    0.2;    0.0;    0.0;    0.0;    0.0;    0.0;    0.0;  102;  102;eor                                                            
         5906;20220115;    0.1;    0.1;    0.1;    0.9;    1.3;    2.2;    4.7;    7.1;    0;   99;  102;  103;  103;  102;  102;  102;  102;    0.7;    0.9;    0;    0;    0.2;    0.1;    0.1;    0.1;    0.1;    0.1;    0.1;  102;  102;eor                                                            
         5906;20220116;    0.2;    0.2;    0.2;    1.2;    1.5;    2.3;    4.4;    6.9;    0;   99;  101;  102;  103;  102;  102;  102;  102;    1.1;    1.2;    0;    0;    0.4;    0.2;    0.2;    0.2;    0.2;    0.2;    0.2;  102;  102;eor                                                            
         5906;20220117;    0.4;    0.4;    0.4;    2.5;    2.5;    2.7;    4.3;    6.7;    0;   98;  101;  102;  102;  102;  102;  101;  101;    2.4;    2.5;    0;    0;    0.5;    0.4;    0.4;    0.4;    0.4;    0.4;    0.4;  102;  102;eor                                                            
         5906;20220118;    0.4;    0.4;    0.7;    3.9;    3.8;    3.7;    4.4;    6.6;    0;   98;  100;  102;  102;  102;  102;  101;  101;    3.9;    3.9;    0;    0;    0.4;    0.4;    0.4;    0.4;    0.3;    0.3;    0.4;  101;  101;eor                                                            
         5906;20220119;    0.4;    0.4;    0.4;    2.5;    2.8;    3.5;    4.6;    6.5;    0;  101;  100;  102;  102;  102;  102;  102;  101;    2.3;    2.5;    0;    0;    0.5;    0.4;    0.4;    0.4;    0.4;    0.4;    0.4;  102;  102;eor                                                            
         5906;20220120;    0.7;    0.7;    0.6;    2.5;    2.8;    3.3;    4.6;    6.4;    0;  103;  100;  102;  102;  102;  102;  102;  102;    2.2;    2.4;    0;    0;    0.6;    0.5;    0.5;    0.5;    0.7;    0.5;    0.5;  103;  103;eor                                                            
         5906;20220121;    0.4;    0.4;    0.5;    1.8;    2.1;    2.8;    4.5;    6.4;    0;  101;  100;  101;  102;  102;  102;  102;  101;    1.7;    1.7;    0;    0;    0.5;    0.4;    0.4;    0.4;    0.4;    0.4;    0.4;  102;  102;eor                                                            
         5906;20220122;    0.3;    0.3;    0.4;    2.8;    2.9;    3.1;    4.4;    6.3;    0;  100;  100;  101;  102;  102;  102;  101;  100;    2.8;    2.8;    0;    0;    0.6;    0.3;    0.4;    0.3;    0.3;    0.3;    0.4;  102;  102;eor                                                            
         5906;20220123;    0.2;    0.2;    0.3;    3.6;    3.6;    3.7;    4.4;    6.3;    0;   99;  100;  101;  102;  102;  102;  101;  100;    3.6;    3.6;    0;    0;    0.4;    0.2;    0.3;    0.2;    0.2;    0.2;    0.3;  101;  102;eor                                                            
         5906;20220124;    0.4;    0.4;    0.7;    2.4;    2.7;    3.3;    4.5;    6.2;    0;   98;  100;  101;  102;  102;  102;  101;   99;    2.2;    2.3;    0;    0;    0.2;    0.4;    0.4;    0.4;    0.4;    0.3;    0.4;  101;  102;eor                                                            
         5906;20220125;    0.0;    0.0;    0.0;    0.5;    1.1;    2.4;    4.4;    6.2;    0;   98;   99;  101;  102;  102;  102;  101;   99;    0.2;    0.5;    0;    0;    0.3;    0.0;    0.0;    0.0;    0.0;    0.0;    0.0;  100;  102;eor                                                            
         5906;20220126;    0.1;    0.1;    0.2;    0.3;    0.7;    1.7;    4.0;    6.1;    0;   97;   99;  101;  102;  102;  102;  101;   98;    0.1;    0.3;    0;    0;    0.4;    0.2;    0.2;    0.2;    0.1;    0.1;    0.1;  100;  101;eor                                                            
         5906;20220127;    0.2;    0.2;    0.2;    0.3;    0.6;    1.5;    3.7;    6.0;    0;   99;   99;  101;  102;  102;  102;  101;   99;    0.1;    0.2;    0;    0;    0.5;    0.2;    0.2;    0.2;    0.2;    0.2;    0.2;  101;  102;eor                                                            
         5906;20220128;    0.6;    0.6;    0.6;    2.2;    2.0;    2.0;    3.5;    5.9;    0;   98;   99;  101;  102;  102;  102;  100;   98;    1.9;    2.2;    0;    0;    0.6;    0.6;    0.6;    0.6;    0.6;    0.5;    0.6;  100;  102;eor                                                            
         5906;20220129;    0.3;    0.4;    0.2;    3.1;    3.0;    3.0;    3.7;    5.8;    0;   97;   98;  100;  101;  102;  102;  100;   97;    3.0;    3.1;    0;    0;    0.6;    0.4;    0.4;    0.4;    0.3;    0.3;    0.4;   99;  101;eor                                                            
         5906;20220130;    1.1;    1.1;    0.8;    4.2;    4.2;    4.0;    4.1;    5.7;    0;   98;   98;  100;  101;  102;  102;  100;   97;    3.9;    4.2;    0;    0;    0.9;    0.8;    0.9;    0.8;    1.1;    0.9;    0.9;  100;  102;eor                                                            
         5906;20220131;    0.9;    0.9;    0.7;    3.3;    3.3;    3.6;    4.3;    5.7;    0;   96;   97;  100;  101;  102;  102;  100;   96;    3.0;    3.2;    0;    0;    1.1;    0.8;    0.8;    0.8;    0.8;    0.7;    0.8;   99;  101;eor                                                            
         5906;20220201;    0.6;    0.6;    0.1;    3.3;    3.4;    3.7;    4.4;    5.7;    0;  101;   97;  100;  101;  102;  102;  100;   97;    3.1;    3.2;    0;    0;    0.8;    0.6;    0.6;    0.6;    0.6;    0.6;    0.6;  101;  102;eor                                                            
         5906;20220202;    1.5;    1.5;    1.0;    6.4;    5.8;    4.9;    4.5;    5.7;    0;  100;   97;   99;  101;  102;  102;  100;   97;    6.3;    6.4;    0;    0;    0.9;    1.1;    1.2;    1.1;    1.5;    1.2;    1.2;  101;  103;eor                                                            
         5906;20220203;    0.6;    0.6;    0.5;    6.9;    6.6;    6.0;    5.1;    5.8;    0;   99;   97;   99;  101;  101;  102;  100;   96;    6.8;    6.9;    0;    0;    0.6;    0.5;    0.6;    0.5;    0.6;    0.6;    0.6;  101;  103;eor                                                            
         5906;20220204;    0.7;    0.7;    0.6;    5.7;    5.8;    5.9;    5.5;    5.9;    0;  103;   97;   99;  100;  101;  102;  101;   97;    5.5;    5.7;    0;    0;    0.9;    0.6;    0.7;    0.6;    0.7;    0.7;    0.7;  103;  103;eor                                                            
         5906;20220205;    0.7;    0.7;    0.6;    3.6;    4.0;    4.7;    5.5;    6.0;    0;  101;   97;   99;  100;  101;  102;  100;   97;    3.1;    3.5;    0;    0;    0.7;    0.7;    0.7;    0.7;    0.6;    0.7;    0.7;  102;  103;eor                                                            
         5906;20220206;    1.0;    1.0;    0.3;    4.3;    4.3;    4.5;    5.3;    6.1;    0;  109;  109;  106;  103;  104;  102;  105;  106;    4.1;    4.3;    0;    0;    1.1;    0.7;    0.9;    0.7;    1.0;    0.9;    0.9;  111;  108;eor                                                            
         5906;20220207;    1.0;    1.0;    0.9;    3.7;    4.1;    4.5;    5.3;    6.2;    0;  103;  105;  105;  104;  104;  103;  104;  104;    3.3;    3.7;    0;    0;    1.0;    0.9;    0.9;    0.9;    1.0;    0.9;    0.9;  109;  107;eor                                                            
         5906;20220208;    0.5;    0.5;    0.2;    4.2;    4.1;    4.2;    5.2;    6.2;    0;  102;  102;  104;  104;  104;  104;  103;  104;    4.0;    4.2;    0;    0;    0.7;    0.5;    0.5;    0.5;    0.5;    0.5;    0.5;  107;  105;eor                                                            
